id;nome;popularidade;seguidores;genero;spotify;imagem
6S2OmqARrzebs0tKUEyXyp;Demi Lovato;86;17143996;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp;https://i.scdn.co/image/51e7125964a144d5720af2a4c693255bed18443e
0ZED1XzwlLHW4ZaG4lOT6m;Julia Michaels;86;2838852;['dance pop', 'electropop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/0ZED1XzwlLHW4ZaG4lOT6m;https://i.scdn.co/image/4a629c160228c0bd5295b064437b01a078aef157
6XyY86QOPPrYVGvF9ch6wz;Linkin Park;86;15347866;['alternative metal', 'nu metal', 'post-grunge', 'rap metal'];https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz;https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814
5Pwc4xIPtQLFEnJriah9YJ;OneRepublic;86;9875554;['dance pop', 'piano rock', 'pop', 'pop rock'];https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ;https://i.scdn.co/image/5d3c1ba4fe1c8bf44591864e725d7b0f98e46755
718COspgdWOnwOFpJHRZHS;Luke Combs;86;2860626;['contemporary country'];https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS;https://i.scdn.co/image/ea98cb1e9fb4ffcee63d580107d77d9d790c3f3c
1vCWHaC5f2uS3yhpwWbIA6;Avicii;86;17422249;big room;https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6;https://i.scdn.co/image/81b19a403109c4fe528ee3972137127b85be9519
02kJSzxNuaWGqwubyUba0Z;G-Eazy;86;4421152;['hip hop', 'indie pop rap', 'pop rap', 'rap'];https://open.spotify.com/artist/02kJSzxNuaWGqwubyUba0Z;https://i.scdn.co/image/c9087fc76c4d0f4feb86ec38078e00d083d5ac59
0cGUm45nv7Z6M6qdXYQGTX;Kehlani;86;3509606;['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap'];https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX;https://i.scdn.co/image/369b4e33305fb4bbd6485e0bb51b5526d6d0aa8c
2cFrymmkijnjDg9SS92EPM;blackbear;86;3103041;['pop', 'pop rap'];https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM;https://i.scdn.co/image/fc4e26fa446d3370789e927bacbcfa40fb648f5c
13ubrt8QOOCPljQ2FL1Kca;A$AP Rocky;85;6925714;['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca;https://i.scdn.co/image/cce607c4d975ae49d68b484eaef51a6413fa73b1
